勉強【べんきょう】 (benkyou),to study (Suru verb)
電話【でんわ】 (denwa),"telephone (call,device); phone call (Suru verb)"
授業【じゅぎょう】 (jugyou),lesson; class work (Suru verb)
結婚【けっこん】 (kekkon),marriage (Suru verb)
コピー (kopii ),copy; photocopy (Suru verb)
来る【くる】 (kuru),to come (Suru verb)
練習【れんしゅう】 (renshuu),practice; practicing (Suru verb)
旅行【りょこう】 (ryokou),travel; trip; journey; excursion; tour (Suru verb)
料理【りょうり】 (ryouri),cuisine (Suru verb)
散歩【さんぽ】 (sanpo),walk; stroll (Suru verb)
洗濯【せんたく】 (sentaku),washing; laundry (Suru verb)
仕事【しごと】 (shigoto),work; job; business (Suru verb)
質問【しつもん】 (shitsumon),question; inquiry (Suru verb)
掃除【そうじ】 (souji),"to clean, to sweep (Suru verb)"
テスト (tesuto),examination; quiz; test (Suru verb)
